x,y,r,b,#
606,1231,1,247,0
1580,1225,1,187,1
973,1226,2,244,2
629,1220,2,240,3
488,1220,2,255,4
184,1212,1,242,5
2013,1208,2,255,6
648,1207,1,216,7
1757,1193,4,252,8
1993,1190,3,254,9
205,1183,1,244,10
753,1166,5,249,11
257,1160,1,196,12
1372,1152,2,255,13
377,1147,2,240,14
717,1118,2,249,15
1386,1114,2,249,16
1533,1112,2,245,17
1837,1109,1,243,18
1374,1103,2,255,19
215,1088,2,255,20
668,1085,1,234,21
1438,1077,1,195,22
1028,1077,3,230,23
1595,1067,1,217,24
299,1064,5,255,25
403,1044,1,254,26
1017,1040,2,244,27
498,1016,1,255,28
316,984,1,212,29
1912,982,2,255,30
1434,984,5,231,31
1284,975,2,242,32
2061,950,1,213,33
1852,950,1,238,34
1433,925,2,244,35
631,919,1,227,36
102,914,1,230,37
117,901,1,193,38
969,887,1,212,39
151,881,1,212,40
278,880,1,255,41
836,877,1,236,42
1786,876,2,255,43
841,872,3,230,44
1758,866,1,244,45
853,859,1,219,46
1401,858,1,199,47
302,854,1,227,48
429,850,2,248,49
1208,834,2,255,50
138,820,1,232,51
1211,807,5,255,52
1644,794,1,254,53
241,783,1,201,54
340,773,1,185,55
1650,772,1,228,56
580,768,1,240,57
782,738,3,243,58
245,707,2,253,59
1756,695,1,197,60
1131,685,4,241,61
1985,665,2,255,62
1671,665,5,255,63
1278,654,1,251,64
713,647,1,216,65
554,636,1,211,66
1983,633,1,234,67
1882,620,1,230,68
964,613,1,255,69
1334,608,1,192,70
1551,584,2,255,71
773,580,2,255,72
1171,571,5,243,73
570,569,2,255,74
893,553,5,255,75
738,544,1,214,76
1953,537,1,242,77
1593,521,1,226,78
108,517,1,236,79
1605,493,2,255,80
481,491,2,255,81
192,484,1,200,82
522,482,1,239,83
546,477,2,255,84
544,469,1,214,85
1439,461,2,255,86
1289,460,3,255,87
996,453,5,239,88
178,448,1,197,89
1721,401,1,222,90
648,403,3,255,91
1872,399,2,255,92
1011,397,1,208,93
915,396,1,221,94
586,387,2,255,95
1897,383,1,237,96
1940,381,1,226,97
1910,381,1,223,98
2045,378,1,229,99
492,376,2,255,100
922,363,1,253,101
1922,356,1,206,102
1923,342,2,254,103
758,341,3,255,104
619,339,1,221,105
1323,304,1,228,106
37,301,1,217,107
773,290,1,211,108
1955,281,1,232,109
487,272,3,255,110
1261,270,4,255,111
1589,236,1,208,112
836,232,2,239,113
23,228,2,241,114
678,225,1,193,115
123,219,2,255,116
149,215,1,207,117
233,214,1,209,118
1143,209,1,215,119
45,204,1,200,120
1427,200,1,236,121
332,189,1,223,122
1237,189,2,233,123
161,184,2,255,124
1312,159,1,231,125
711,159,1,239,126
116,153,1,201,127
805,147,2,249,128
1343,142,1,222,129
1376,140,1,215,130
802,134,4,255,131
1537,111,3,251,132
712,85,2,255,133
1571,82,3,255,134
1216,60,2,247,135
1955,55,2,255,136
1108,55,3,239,137
1154,43,4,243,138
945,40,1,229,139
1898,30,1,173,140
1419,18,3,255,141
1443,15,1,220,142
734,1,1,189,143
463,1,1,218,144
